Date,User,Tweet
2022-10-26 23:17:58+00:00,Chris_me40,@opebanwo @NgLabour @PeterObi OBIDIENT MOVEMENT is not only abt Labour party candidates but abt competent candidates in other parties too. Honestly Peter Obi would shock some of u dat are only supporting him to get appointment or position.
2022-10-26 23:17:37+00:00,LadyXan_,"@Triciaduchess No mercy for any phool, Phyna trolls and draggers. They all gon crrryyyy.

FOCUSED PHYNA
PHYNA DAUGHTER OF GRACE
#Phyna𓃰"
2022-10-26 23:16:42+00:00,Peace2Freda,@firstladyship God is wonderful
2022-10-26 23:16:36+00:00,LEONZY352,@DylanLabrum @OfficialIbidapo @TalentedFBG Wickedness!
2022-10-26 23:16:29+00:00,LadyXan_,@sssiimanita @Triciaduchess We don't know them too but trying to figure them all out 🤣🤣🤣
2022-10-26 23:16:06+00:00,Peace2Freda,@mindset_tweet The native fowl nor go gree attend.
2022-10-26 23:16:04+00:00,DisFemi,"So that man climbed Kilimanjaro for to support Peter Obi and labour party he is a real OBIdient fellow,

But remember someone trekked from Kaduna to Abuja for this change"
2022-10-26 23:16:03+00:00,gauchocarter10,@ihuomajay @lukemonowolabi @ruffydfire 😂😂
2022-10-26 23:15:51+00:00,Nnamdi92983868,@dinobest101 @PrideOfAPeacock 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 I'm telling u
2022-10-26 23:15:33+00:00,Peace2Freda,@Dr_dabo1 Perfect PETER OBI
2022-10-26 23:15:25+00:00,DablizzVibez,@paulnyk45 @SaveMyVideo
2022-10-26 23:15:05+00:00,TryNaija,Over 20000 applicants jostle for Nigeria Air jobs – Guardian Nigeria https://t.co/xWXVDeivLs
2022-10-26 23:14:56+00:00,gauchocarter10,"@ysone2 @oluwasina9 @dr_shaguy @lukemonowolabi @ruffydfire A wiseman once said, that he that does not know, And does not know that he does not know, and does not want to know is a FOOL!"
2022-10-26 23:14:54+00:00,Peace2Freda,@Shehusky They should keep on stealing from their team that's their business.
2022-10-26 23:14:49+00:00,LadyXan_,"@Mike_Westaan Y'all are mean spirited and Phyna doesn't deserve wicked people like y'all. You want ur relationship or marriage to work but against someone else's relationship/personal life. I wish y'all whatever good &amp; bad you've ever wish this innocent intentional young girl.

FOCUSED PHYNA"
2022-10-26 23:14:16+00:00,ovenseri_thomas,"@Memphis Real Madrid without Ronaldo still won Champions League, La Liga and produce Ballon Dor winner twice. 

Barcelona without Messi just average Europa League team. Why is there a GOAT debate?"
2022-10-26 23:13:50+00:00,Peace2Freda,@ChudeMedia They should go ahead with their campaign in the mud hence the forbid shame.
2022-10-26 23:13:34+00:00,DablizzVibez,@Naija_PR @SaveVidBot
2022-10-26 23:13:12+00:00,Peace2Freda,@VictorIsrael_ 😆😆😆😆 the man must really disl*ke Nigeria youths by now.
